dts,rr10,rr25,bf10,bf25,S,F,r,q
2014-05-23,1.8925,1.0875,0.7525,0.245,2.2233,2.2347,10.34,0.17
2014-05-26,1.9475,1.085,0.735,0.2425,2.2245,2.2277,10.81,0.17
2014-05-27,2.3725,1.285,0.7325,0.265,2.2377,2.2494,8.79,0.17
2014-05-28,2.445,1.35,0.7425,0.265,2.232,2.2445,9.465,0.17
2014-05-29,2.415,1.34,0.745,0.2625,2.2242,2.2422,10.945,0.17
2014-05-30,2.3025,1.3225,0.7475,0.255,2.2415,2.2601,10.435,0.17
2014-06-02,2.8675,1.6175,0.755,0.2725,2.2767,2.2945,10.07,0.17
2014-06-03,2.92,1.6025,0.74,0.28,2.2806,2.2983,10.02,0.17
2014-06-04,3.0625,1.735,0.755,0.2825,2.2796,2.2974,9.065,0.17
2014-06-05,2.9,1.6275,0.7625,0.28,2.2621,2.2841,10.17,0.17
2014-06-06,2.44,1.3975,0.7725,0.2675,2.2473,2.2618,10.345,0.17
2014-06-09,2.195,1.2475,0.775,0.2625,2.2293,2.247,11.185,0.17
2014-06-10,2.1075,1.2125,0.7775,0.2625,2.2249,2.2454,8.19,0.17
2014-06-11,2.1375,1.2225,0.7875,0.265,2.2337,2.2523,9.66,0.17
2014-06-12,2.185,1.2275,0.79,0.265,2.2312,2.2543,11.875,0.17
2014-06-13,2.18,1.2425,0.7975,0.2675,2.2243,2.2438,10.615,0.17
2014-06-16,2.2875,1.31,0.825,0.2775,2.235,2.254,10.515,0.17
2014-06-17,2.525,1.48,0.79,0.2775,2.2619,2.2808,10.165,0.17
2014-06-18,2.5875,1.435,0.875,0.2825,2.2276,2.2338,10.655,0.17
2014-06-20,2.7225,1.535,0.7725,0.26,2.23,2.243,10.585,0.17
2014-06-23,2.7025,1.505,0.7975,0.2675,2.2192,2.237,10.21,0.17
2014-06-24,2.5875,1.455,0.8225,0.27,2.225,2.2442,10.365,0.17
2014-06-25,2.81,1.505,0.83,0.28,2.2078,2.2181,10.57,0.17
2014-06-26,2.6275,1.475,0.8025,0.25,2.1968,2.2122,11.63,0.17
2014-06-27,2.4225,1.365,0.8525,0.2625,2.1938,2.2084,10.68,0.17
2014-06-30,2.6225,1.4875,0.8475,0.29,2.2143,2.2346,10.995,0.17
2014-07-01,2.72,1.5375,0.84,0.295,2.2019,2.2208,10.315,0.17
2014-07-02,2.7575,1.565,0.84,0.295,2.2236,2.2427,11.64,0.17
2014-07-03,2.835,1.605,0.835,0.2975,2.2106,2.2327,9.75,0.17
2014-07-04,3.035,1.64,0.945,0.3225,2.2138,2.2328,11.38,0.17
2014-07-07,2.705,1.465,0.8975,0.2925,2.2249,2.2419,10.845,0.17
2014-07-08,2.81,1.54,0.93,0.3075,2.2135,2.2343,10.415,0.17
2014-07-09,2.7925,1.535,0.93,0.31,2.2128,2.2343,11.23,0.17
2014-07-10,2.905,1.6025,0.9375,0.315,2.2206,2.2366,11.03,0.17
2014-07-11,2.8775,1.59,0.9375,0.3175,2.221,2.2373,10.77,0.17
2014-07-14,2.7575,1.505,0.895,0.2975,2.2122,2.2317,8.53,0.17
2014-07-15,2.7325,1.505,0.895,0.295,2.2191,2.2377,9.94,0.17
2014-07-16,2.7025,1.4,0.91,0.3125,2.2235,2.2385,10.13,0.17
2014-07-17,2.8475,1.4925,0.9225,0.3175,2.2582,2.2728,11.835,0.17
2014-07-18,2.995,1.575,0.9475,0.325,2.2262,2.2422,11.47,0.17
2014-07-21,2.9,1.545,0.93,0.3175,2.2211,2.2425,10.265,0.17
2014-07-22,2.8025,1.485,0.935,0.315,2.2128,2.2249,10.115,0.17
2014-07-23,2.7275,1.45,0.93,0.3125,2.2194,2.2315,10.305,0.17
2014-07-24,2.7575,1.4625,0.9325,0.3125,2.2217,2.2339,11.24,0.17
2014-07-25,2.7925,1.4925,0.95,0.3175,2.2298,2.2405,11.09,0.17
2014-07-28,2.7775,1.52,0.9175,0.3025,2.2224,2.2339,10.025,0.17
2014-07-29,2.7275,1.5125,0.91,0.3,2.2313,2.2415,10.33,0.17
2014-07-30,2.8675,1.595,0.91,0.3025,2.2457,2.2645,8.61,0.17
2014-07-31,3.4475,1.945,0.88,0.3175,2.2636,2.2835,10.415,0.18
2014-08-01,3.5675,1.9925,0.925,0.3275,2.2577,2.2755,8.785,0.18
2014-08-04,3.2475,1.835,0.8575,0.3025,2.2584,2.2827,10.44,0.175
2014-08-05,3.83,2.1575,0.895,0.3275,2.2818,2.3073,9.71,0.18
2014-08-06,3.7375,2.0875,0.9025,0.32,2.273,2.294,9.595,0.18
2014-08-07,4.1275,2.3275,0.8875,0.34,2.2952,2.3177,11.135,0.18
2014-08-08,4.1725,2.325,0.9025,0.335,2.2833,2.3063,11.185,0.18
2014-08-11,3.8775,2.195,0.8625,0.3275,2.2755,2.2982,10.27,0.24
2014-08-12,3.945,2.2,0.8425,0.31,2.277,2.2975,10.43,0.18
2014-08-13,4.0275,2.25,0.855,0.3225,2.2816,2.3069,9.565,0.18
2014-08-14,3.8625,2.105,0.9125,0.325,2.2666,2.2926,9.935,0.18
2014-08-15,4.1275,2.18,1.05,0.3575,2.2601,2.2815,10.27,0.18
2014-08-18,3.5675,1.895,0.8075,0.2775,2.2574,2.2796,8.89,0.18
2014-08-19,3.9925,2.11,0.91,0.32,2.2469,2.2776,8.1,0.18
2014-08-20,3.7,2.005,0.8775,0.305,2.262,2.2879,9.285,0.18
2014-08-21,3.5625,1.9275,0.8575,0.29,2.2687,2.2898,12.195,0.18
2014-08-22,3.3825,1.88,0.825,0.2875,2.2775,2.2996,10.805,0.18
2014-08-25,3.415,1.8875,0.835,0.2875,2.2885,2.3196,9.49,0.18
2014-08-26,3.435,1.93,0.8075,0.295,2.2617,2.2951,8.1,0.18
2014-08-27,2.7875,1.545,0.735,0.2375,2.2471,2.2806,9.92,0.18
2014-08-28,2.4625,1.3725,0.7825,0.2475,2.242,2.2712,10.425,0.18
2014-08-29,2.2525,1.2675,0.7825,0.25,2.2359,2.278,10.615,0.18
2014-09-01,2.375,1.32,0.8325,0.2675,2.2459,2.2599,10.515,0.18
2014-09-02,2.3125,1.305,0.8125,0.26,2.2436,2.2642,10.03,0.18
2014-09-03,2.2275,1.2475,0.795,0.25,2.2369,2.2552,11.635,0.18
2014-09-04,2.2825,1.2825,0.805,0.255,2.2429,2.262,11.885,0.18
2014-09-05,2.4975,1.41,0.79,0.2575,2.2418,2.2635,11.61,0.18
2014-09-08,2.6425,1.47,0.805,0.2625,2.2675,2.286,10.735,0.18
2014-09-09,3.3275,1.8775,0.7725,0.275,2.2847,2.3057,9.745,0.18
2014-09-10,3.6075,2.035,0.86,0.3075,2.2885,2.3088,8.895,0.185
2014-09-11,3.2925,1.8375,0.865,0.29,2.2977,2.3135,12.23,0.185
2014-09-12,3.6225,2.0475,0.875,0.3125,2.339,2.3592,10.875,0.185
2014-09-15,3.805,2.0475,0.9025,0.3125,2.3429,2.3619,11.325,0.185
2014-09-16,3.7925,2.045,0.9375,0.32,2.3317,2.3493,11.21,0.185
2014-09-17,3.4425,1.865,0.915,0.305,2.3579,2.3775,10.65,0.175
2014-09-18,3.365,1.815,0.9325,0.305,2.3649,2.3858,9.885,0.175
2014-09-19,2.61,1.4125,0.8775,0.2875,2.3682,2.4014,10.385,0.175
2014-09-22,2.635,1.4225,0.9,0.2925,2.3979,2.4187,10.61,0.175
2014-09-23,2.695,1.4725,0.9125,0.3,2.412,2.4328,9.9,0.175
2014-09-24,2.6675,1.4575,0.9225,0.3,2.3833,2.4127,9.995,0.175
2014-09-25,2.7125,1.4225,0.875,0.2975,2.4278,2.4457,11.33,0.175
2014-09-26,3.0325,1.6925,1.0425,0.335,2.4201,2.4391,10.325,0.175
2014-09-29,3.6125,2.025,1.1625,0.3825,2.4477,2.475,8.88,0.175
2014-09-30,4.015,2.255,1.35,0.4425,2.4469,2.4659,8.645,0.175
2014-10-01,4.1025,2.3,1.33,0.4375,2.4811,2.5015,9.18,0.185
2014-10-02,4.06,2.2625,1.31,0.435,2.4949,2.5103,11.14,0.185
2014-10-03,3.8,2.12,1.3225,0.42,2.4584,2.489,11.015,0.185
2014-10-06,3.3225,1.84,1.25,0.3925,2.4262,2.4511,9.18,0.185
2014-10-07,2.945,1.6425,1.295,0.4025,2.3966,2.4202,9.91,0.185
2014-10-08,2.7325,1.515,1.2825,0.3925,2.3774,2.3973,9.725,0.185
2014-10-09,2.6125,1.46,1.3175,0.4025,2.3985,2.4197,12.66,0.185
2014-10-10,2.535,1.4225,1.28,0.39,2.4291,2.4395,10.095,0.185
2014-10-13,2.455,1.38,1.1925,0.3675,2.3943,2.4135,10.36,0.185
2014-10-14,2.6075,1.465,1.14,0.3525,2.4003,2.4225,8.815,0.185
2014-10-15,3.335,1.86,1.1175,0.3675,2.4576,2.456,9.98,0.185
2014-10-16,4.3,2.41,1.2325,0.4075,2.4727,2.4885,11.095,0.185
2014-10-17,4.0925,2.3275,1.1775,0.38,2.4354,2.4627,11.17,0.185
2014-10-20,3.8,2.1625,0.895,0.305,2.4643,2.4812,12.03,0.185
2014-10-21,4.285,2.4425,0.9,0.3025,2.4833,2.4946,11.04,0.185
2014-10-22,3.8425,2.18,0.885,0.2925,2.4871,2.511,10.715,0.185
2014-10-23,2.595,1.4775,0.9375,0.2725,2.5,2.5359,9.87,0.185
2014-10-24,1.865,1.07,-0.255,-0.49,2.4739,2.4867,15.605,0.185
2014-10-27,2.765,1.58,0.885,0.25,2.5211,2.5439,11.24,0.185
2014-10-28,2.3675,1.325,0.8725,0.245,2.461,2.4918,8.66,0.185
2014-10-29,1.915,1.065,0.88,0.24,2.4619,2.4676,10.595,0.185
2014-10-30,1.795,0.995,0.87,0.24,2.4026,2.4269,13,0.185
2014-10-31,2.36,1.32,0.87,0.255,2.4778,2.4922,11.495,0.185
2014-11-03,2.78,1.56,0.915,0.27,2.4953,2.5236,11.305,0.185
2014-11-04,3.045,1.73,0.965,0.29,2.4956,2.5326,7.7,0.185
2014-11-05,3.27,1.8575,0.96,0.2925,2.5078,2.5366,12.485,0.185
2014-11-06,3.55,2.0125,0.935,0.2975,2.5699,2.5737,10.89,0.185
2014-11-07,3.78,2.1375,0.98,0.3175,2.5587,2.5824,11.78,0.185
2014-11-10,3.7225,2.11,1.0675,0.3225,2.5522,2.572,11.39,0.185
2014-11-11,3.495,1.9875,1.055,0.3175,2.5563,2.5809,10.53,0.185
2014-11-12,3.39,1.8675,0.945,0.2975,2.5682,2.582,10.87,0.185
2014-11-13,3.605,1.9675,0.9225,0.3025,2.5888,2.6167,10.195,0.185
2014-11-14,3.515,1.905,0.92,0.3,2.6017,2.6249,11.125,0.185
2014-11-17,3.325,1.7075,0.705,0.265,2.6089,2.6327,11.835,0.185
2014-11-18,3.51,1.9425,0.9525,0.3,2.5828,2.611,10.035,0.19
2014-11-19,3.37,1.8575,0.9275,0.29,2.5714,2.5995,9.59,0.19
2014-11-20,3.195,1.7975,0.98,0.2925,2.573,2.5953,10.505,0.19
2014-11-21,2.89,1.595,0.925,0.29,2.5158,2.5386,10.03,0.19
2014-11-24,2.8475,1.565,0.945,0.2825,2.5461,2.57,10.475,0.19
2014-11-25,2.74,1.5525,0.9875,0.2875,2.5301,2.553,10.42,0.19
2014-11-26,2.3375,1.32,0.9925,0.28,2.5015,2.523,10.68,0.19
2014-11-27,2.27,1.2825,1.035,0.2825,2.5311,2.535,15.18,0.19
2014-11-28,2.475,1.3975,1.04,0.2875,2.5654,2.5965,10.2,0.19
2014-12-01,2.5325,1.43,1.07,0.295,2.5607,2.5812,10.47,0.185
2014-12-02,2.55,1.445,1.0075,0.285,2.5693,2.5907,9.345,0.185
2014-12-03,2.57,1.4425,1.025,0.2875,2.5532,2.5743,8.84,0.185
2014-12-04,2.5575,1.4425,0.935,0.2675,2.5908,2.614,11.32,0.185
2014-12-05,2.57,1.4425,0.9475,0.27,2.5885,2.6105,9.28,0.185
2014-12-08,2.4575,1.385,0.9775,0.2725,2.6004,2.6235,10.305,0.18
2014-12-09,2.3575,1.325,0.9625,0.2675,2.596,2.6181,10.955,0.18
2014-12-10,2.34,1.3125,0.97,0.2675,2.6166,2.6375,9.875,0.18
2014-12-11,2.8475,1.6125,0.925,0.27,2.6523,2.6675,9.445,0.18
2014-12-12,2.9775,1.6925,0.9075,0.27,2.6541,2.6774,10.165,0.18
2014-12-15,3.865,2.1825,0.92,0.2975,2.6958,2.7173,10.21,0.18
2014-12-16,4.335,2.435,1.15,0.33,2.7387,2.7608,9.27,0.18
2014-12-17,3.91,2.2125,1.1775,0.3225,2.7153,2.7217,9.225,0.18
2014-12-18,3.66,2.08,1.145,0.3275,2.6628,2.6753,10.41,0.18
2014-12-19,3.515,2,1.18,0.3325,2.6595,2.6803,9.145,0.18
2014-12-22,3.5875,2.0275,1.2375,0.34,2.6651,2.6861,9.855,0.18
2014-12-23,3.5175,1.995,1.145,0.325,2.6948,2.7268,7.165,0.18
2014-12-24,3.5175,1.9925,1.15,0.325,2.6958,2.7268,10.145,0.18
2014-12-26,3.5075,1.9775,1.155,0.3225,2.6692,2.69,9.285,0.18
2014-12-29,3.5525,2,1.2375,0.3375,2.7052,2.7228,9.6,0.18
2014-12-30,3.4775,1.955,1.2,0.33,2.6576,2.6676,10.655,0.18
2014-12-31,3.46,1.975,1.1875,0.34,2.6576,2.6676,1.415,0.18
2015-01-02,3.5075,1.9925,1.43,0.5925,2.6942,2.7178,11.7,0.2
2015-01-05,3.495,1.975,1.0925,0.32,2.706,2.7494,9.54,0.2
2015-01-06,3.4975,1.985,1.1,0.32,2.7008,2.7197,10.485,0.2
2015-01-07,3.42,1.93,1.1075,0.32,2.6829,2.7116,9.93,0.2
2015-01-08,2.775,1.55,1.0375,0.295,2.6625,2.6922,12.145,0.2
2015-01-09,2.6475,1.48,0.98,0.29,2.6329,2.6628,9.095,0.2
2015-01-12,2.68,1.51,1.0325,0.3,2.6737,2.6938,10.235,0.2
2015-01-13,2.59,1.4825,0.955,0.285,2.6432,2.6615,10.77,0.2
2015-01-14,2.6125,1.4725,0.9075,0.27,2.6164,2.6397,9.195,0.2
2015-01-15,3.015,1.705,0.8975,0.28,2.642,2.6611,10.17,0.2
2015-01-16,3.035,1.72,0.8675,0.275,2.6223,2.6432,10.075,0.2
2015-01-19,3.145,1.78,0.9025,0.2825,2.6509,2.6739,9.695,0.2
2015-01-20,3.36,1.9025,0.85,0.2825,2.6131,2.6364,9.28,0.2
2015-01-21,3.33,1.88,0.8425,0.2775,2.601,2.6252,9.53,0.205
2015-01-22,3.255,1.835,0.8425,0.2775,2.5746,2.5933,9.85,0.205
2015-01-23,3.15,1.7875,0.84,0.275,2.5802,2.6056,10.19,0.205
2015-01-26,3.1825,1.7975,0.8725,0.28,2.5836,2.6082,10.605,0.205
2015-01-27,3.045,1.7125,0.8775,0.2775,2.5735,2.5935,10.09,0.205
2015-01-28,2.9425,1.6575,0.88,0.275,2.5766,2.5967,10.18,0.205
2015-01-29,3.1025,1.76,0.865,0.275,2.6044,2.627,8.58,0.205
2015-01-30,4.215,2.405,0.915,0.315,2.6829,2.7034,9.59,0.205
2015-02-02,4.2675,2.425,0.93,0.3175,2.7274,2.7485,10.29,0.2
2015-02-03,4.275,2.435,0.885,0.31,2.6951,2.7162,10.17,0.2
2015-02-04,4.355,2.4725,0.835,0.3025,2.7417,2.7671,9.525,0.2
2015-02-05,4.265,2.3825,0.845,0.2875,2.7454,2.7608,13.2,0.2
2015-02-06,4.3925,2.39,0.8325,0.265,2.7819,2.8006,10.545,0.2
2015-02-09,4.61,2.54,0.9175,0.3025,2.771,2.7931,10.685,0.2
2015-02-10,4.57,2.535,0.8825,0.2975,2.8324,2.8549,9.86,0.2
2015-02-11,5.04,2.73,0.9,0.28,2.8679,2.8923,10.64,0.2
2015-02-12,4.445,2.4425,0.9175,0.2875,2.8238,2.8485,12.68,0.2
2015-02-13,4.2,2.3,0.895,0.275,2.8347,2.8594,11.72,0.2
2015-02-18,4.0675,2.2275,0.905,0.275,2.839,2.8659,10.435,0.21
2015-02-19,4.1275,2.2375,0.875,0.2625,2.8669,2.8927,12.3,0.21
2015-02-20,4.1725,2.2925,0.9475,0.29,2.8695,2.8991,12.03,0.21
2015-02-23,4.2125,2.32,0.96,0.2925,2.8786,2.9049,11.81,0.21
2015-02-24,4.0075,2.1825,0.88,0.265,2.8289,2.8581,10.78,0.21
2015-02-25,3.9825,2.16,0.87,0.26,2.8691,2.9031,11.705,0.21
2015-02-26,4.2,2.2375,0.8425,0.2725,2.9059,2.9244,10.595,0.21
2015-02-27,3.8475,2.11,0.88,0.2675,2.8412,2.8849,9.99,0.21
2015-03-02,3.7725,2.065,0.8825,0.265,2.8954,2.9198,11.76,0.205
2015-03-03,3.7025,1.9975,0.835,0.2475,2.9316,2.9481,10.165,0.205
2015-03-04,4.2775,2.34,0.8675,0.27,2.9798,3.0067,7.975,0.205
2015-03-05,4.1175,2.2575,0.87,0.27,3.003,3.0293,11.065,0.205
2015-03-06,4.3375,2.3925,0.9225,0.295,3.064,3.0922,11.36,0.18
2015-03-09,4.9975,2.72,1.06,0.335,3.1224,3.1532,11.11,0.21
2015-03-10,5.47,2.9875,1.225,0.3775,3.1013,3.1312,10.395,0.205
2015-03-11,5.18,2.8275,1.2275,0.3675,3.1264,3.1533,9.15,0.205
2015-03-12,5.425,2.94,1.1725,0.36,3.166,3.1942,11.1,0.205
2015-03-13,6.2,3.355,1.1975,0.38,3.2487,3.2797,11,0.205
2015-03-16,6.015,3.285,1.24,0.395,3.2457,3.2771,11.265,0.205
2015-03-17,6.0725,3.2975,1.225,0.3825,3.2397,3.2697,8.63,0.205
2015-03-18,5.5575,3.035,1.3375,0.395,3.2107,3.2395,10.695,0.205
2015-03-19,5.745,3.1025,1.215,0.37,3.2919,3.3222,12.285,0.205
2015-03-20,5.58,3.0175,1.2225,0.37,3.2308,3.2611,11.675,0.205
2015-03-23,4.6325,2.505,1.175,0.3425,3.1323,3.1609,9.26,0.205
2015-03-24,4.63,2.505,1.19,0.35,3.1395,3.1669,10.79,0.205
2015-03-25,4.39,2.38,1.195,0.3425,3.201,3.2273,10.415,0.205
2015-03-26,4.1475,2.2575,1.175,0.34,3.1831,3.2116,8.995,0.205
2015-03-27,4.175,2.2675,1.17,0.3375,3.2497,3.2759,10.71,0.205
2015-03-30,4.18,2.26,1.17,0.335,3.2299,3.2565,8.455,0.205
2015-03-31,3.9325,2.12,1.185,0.33,3.1967,3.2226,9.58,0.205
2015-04-01,3.8175,2.0625,1.175,0.33,3.1649,3.1923,10.91,0.205
2015-04-02,3.0775,1.6725,1.185,0.34,3.1229,3.1518,10.36,0.205
2015-04-06,3.13,1.7,1.24,0.355,3.1261,3.1542,13.915,0.205
2015-04-07,2.9825,1.61,0.955,0.335,3.1298,3.1582,9.445,0.205
2015-04-08,2.8875,1.58,1.1325,0.335,3.0494,3.0765,9.425,0.205
2015-04-09,2.9525,1.585,1.0475,0.3075,3.0577,3.0865,11.05,0.205
2015-04-10,2.9425,1.6,1.1325,0.3375,3.0754,3.1045,11.105,0.205
2015-04-13,2.8525,1.5475,1.0425,0.305,3.1213,3.1499,10.21,0.205
2015-04-14,2.7675,1.51,1.08,0.3175,3.0633,3.0926,9.95,0.205
2015-04-15,2.7625,1.5175,1.105,0.325,3.0287,3.0555,10.34,0.205
2015-04-16,2.6925,1.4675,1.0775,0.3175,3.0205,3.0489,11.78,0.205
2015-04-17,2.9075,1.5875,1.0825,0.3225,3.0408,3.0676,10.52,0.205
2015-04-20,2.9,1.585,1.0875,0.325,3.0325,3.0628,11.585,0.21
2015-04-22,3.1725,1.6475,1.0625,0.1925,3.0108,3.0418,11.65,0.21
2015-04-23,3.0875,1.7125,1.065,0.29,2.9707,3.0003,11.41,0.21
2015-04-24,3.0325,1.6625,1.19,0.355,2.9513,2.9802,11.97,0.21
2015-04-27,2.9875,1.625,1.0725,0.3175,2.917,2.9465,11.855,0.21
2015-04-28,3.705,2.0075,1.0825,0.3275,2.9373,2.9669,11.5,0.21
2015-04-29,3.7,2.01,1.085,0.3325,2.9613,2.9945,12.49,0.21
2015-04-30,3.9275,2.1325,1.07,0.33,3.0145,3.0471,12.43,0.21
2015-05-04,4.0125,2.155,1.05,0.32,3.0865,3.1189,13.055,0.21
2015-05-05,4.2275,2.2975,1.07,0.3375,3.0562,3.0885,12.78,0.21
2015-05-06,4.06,2.2125,1.055,0.335,3.0347,3.0663,12.05,0.21
2015-05-07,3.915,2.1475,1.1125,0.3525,3.0258,3.0585,12.425,0.21
2015-05-08,3.6825,2.01,1.0875,0.335,2.9746,3.0066,12.555,0.21
2015-05-11,3.7975,2.06,1.0725,0.3275,3.0622,3.0939,12.085,0.21
2015-05-12,3.795,2.06,1.075,0.3275,3.0197,3.0506,11.88,0.21
2015-05-13,3.51,1.8975,1.0775,0.3225,3.0395,3.0713,11.76,0.21
2015-05-14,3.4175,1.8725,1.1025,0.335,2.9942,3.0261,12.245,0.21
2015-05-15,3.495,1.89,1.0625,0.32,2.9969,3.0308,12.545,0.22
2015-05-18,3.275,1.795,1.09,0.3325,3.0056,3.0374,11.52,0.22
2015-05-19,3.355,1.8325,1.0825,0.335,3.0381,3.0705,12.97,0.22
2015-05-20,3.3375,1.82,1.1025,0.3375,3.0026,3.0325,11.805,0.22
2015-05-21,3.5375,1.89,0.985,0.2075,3.0382,3.0719,12.895,0.22
2015-05-22,3.71,2.0275,1.1025,0.3425,3.0942,3.1287,13.57,0.22
2015-05-25,4.09,2.2625,1.05,0.335,3.0973,3.1318,13.6,0.22
2015-05-26,4.02,2.2075,1.05,0.3325,3.1535,3.1859,11.655,0.22
2015-05-27,4.11,2.2575,1.06,0.3375,3.1397,3.172,11.445,0.22
2015-05-28,3.9175,2.145,1.055,0.3325,3.1628,3.1949,12.645,0.22
2015-05-29,3.7775,2.065,1.0475,0.325,3.1787,3.2143,13.41,0.22
2015-06-01,3.8625,2.11,1.0575,0.33,3.1684,3.2035,12.385,0.22
2015-06-02,3.8,2.08,1.0575,0.3275,3.1323,3.1675,12.845,0.22
2015-06-03,3.85,2.105,1.0675,0.335,3.1336,3.1695,13.405,0.215
2015-06-05,3.835,2.0975,1.045,0.33,3.1424,3.1757,11.285,0.215
2015-06-08,4.0325,2.1525,1.0525,0.3175,3.1124,3.1487,14.2,0.215
2015-06-09,3.8825,2.1375,1.01,0.325,3.097,3.1313,12.585,0.215
2015-06-10,4.0525,2.17,1.025,0.31,3.1181,3.1521,12.45,0.205
2015-06-11,4.0075,2.1425,1.0025,0.3,3.09,3.1231,13.405,0.205
2015-06-12,3.645,1.9975,0.9325,0.295,3.1197,3.1524,12.705,0.205
2015-06-15,3.61,1.9725,0.9225,0.2875,3.1269,3.1608,14.175,0.205
2015-06-16,3.8425,2.0025,0.895,0.165,3.0889,3.1233,12.515,0.205
2015-06-17,3.9075,2.0875,0.995,0.295,3.0566,3.0864,13.325,0.205
2015-06-18,3.4875,1.9025,0.9475,0.2975,3.0602,3.0949,13.305,0.205
2015-06-19,3.1325,1.71,0.905,0.285,3.0978,3.1316,13.375,0.205
2015-06-22,3.0825,1.6925,0.895,0.28,3.0803,3.1135,12.625,0.205
2015-06-23,3.1925,1.665,0.8375,0.1525,3.0754,3.1092,12.385,0.205
2015-06-24,2.9175,1.595,0.955,0.2875,3.0984,3.1306,11.93,0.205
2015-06-25,3.1925,1.7525,0.9525,0.2975,3.1275,3.1617,12.975,0.205
2015-06-26,3.1825,1.75,0.9225,0.29,3.1293,3.1648,12.82,0.205
2015-06-29,3.245,1.7825,0.9225,0.2875,3.1177,3.1543,13.26,0.205
2015-06-30,3.285,1.7925,0.9225,0.29,3.103,3.1378,12.785,0.205
2015-07-01,3.44,1.8,0.8775,0.16,3.1492,3.1822,13.185,0.21
2015-07-02,3.335,1.845,0.905,0.2675,3.0967,3.1328,13.32,0.21
2015-07-03,3.27,1.76,0.99,0.2975,3.1343,3.1703,13.43,0.21
2015-07-06,3.185,1.665,0.8175,0.1575,3.1378,3.1725,12.3,0.21
2015-07-07,3.315,1.8125,0.9075,0.29,3.1862,3.2215,12.775,0.21
2015-07-08,3.425,1.87,0.92,0.295,3.2353,3.2705,12.295,0.21
2015-07-09,3.5825,1.915,0.885,0.21,3.2203,3.2552,19.1,0.21
2015-07-10,3.265,1.7875,0.905,0.2875,3.1602,3.1949,12.875,0.21
2015-07-13,3.0925,1.6075,0.7475,0.1275,3.1338,3.1717,13.71,0.21
2015-07-14,3.2075,1.765,0.9275,0.2875,3.1401,3.171,12.935,0.21
2015-07-15,3.225,1.77,0.935,0.29,3.14,3.1736,13.355,0.21
2015-07-16,3.1075,1.7125,0.9125,0.285,3.1565,3.1926,13.765,0.21
2015-07-17,3.215,1.765,0.965,0.3,3.1881,3.2243,13.66,0.18
2015-07-20,3.6225,1.9925,0.9175,0.295,3.196,3.2335,12.775,0.21
2015-07-21,3.4625,1.955,0.78,0.265,3.1718,3.2066,12.42,0.21
2015-07-22,3.835,2.04,0.785,0.175,3.2229,3.258,12.905,0.21
2015-07-23,3.9625,2.1275,0.775,0.275,3.2857,3.3227,13.47,0.21
2015-07-24,4.48,2.44,0.945,0.31,3.3551,3.3945,14.385,0.21
2015-07-27,3.555,2.04,0.735,0.255,3.3638,3.4028,13.165,0.21
2015-07-28,3.86,2.16,0.82,0.285,3.3568,3.393,12.42,0.21
2015-07-29,4.53,2.215,0.805,0.275,3.3311,3.3656,12.84,0.21
2015-07-30,3.6,2.03,0.7875,0.0475,3.3718,3.4088,13.025,0.21
2015-07-31,4.1575,2.2625,0.9425,0.3025,3.4214,3.4602,13.455,0.21
2015-08-03,4.2725,2.4125,0.86,0.2575,3.4511,3.4912,12.61,0.21
2015-08-04,3.9325,2.2,0.8325,0.26,3.471,3.5064,11.94,0.21
2015-08-05,3.585,2.0275,0.7775,0.245,3.4854,3.5225,11.445,0.21
2015-08-06,3.815,2.08,0.9225,0.28,3.5356,3.5728,13.325,0.21
2015-08-07,4.025,2.255,1,0.31,3.5072,3.5476,11.57,0.21
2015-08-10,3.5375,1.955,1.025,0.3,3.4376,3.4738,11.545,0.21
2015-08-11,3.71,2.085,0.99,0.3,3.4743,3.5115,11.645,0.21
2015-08-12,3.605,2.02,1.005,0.3,3.4808,3.516,11.39,0.21
2015-08-13,3.665,2.055,0.965,0.295,3.5192,3.5581,12.59,0.21
2015-08-14,3.35,1.865,0.975,0.295,3.4827,3.5225,13.25,0.21
2015-08-17,3.415,1.8925,0.995,0.295,3.4808,3.5187,12.255,0.21
2015-08-18,3.245,1.825,0.95,0.29,3.4674,3.5047,12.645,0.23
2015-08-19,3.41,1.915,0.965,0.295,3.4924,3.5281,12.09,0.23
2015-08-20,3.59,2.015,0.97,0.295,3.4587,3.4983,13.11,0.23
2015-08-21,3.605,2.01,0.965,0.295,3.4998,3.5388,13.19,0.33
2015-08-24,4.185,2.3825,0.9275,0.295,3.5528,3.5932,12.16,0.35
2015-08-25,4.5425,2.4375,1.1025,0.34,3.6169,3.654,12.01,0.36
2015-08-26,4.58,2.56,1.04,0.325,3.5964,3.6328,12.005,0.36
2015-08-27,4.675,2.5,1.09,0.33,3.5537,3.5905,11.26,0.36
2015-08-28,4.1575,2.395,1.045,0.3325,3.5815,3.6189,12.82,0.35
2015-08-31,4.535,2.64,1.09,0.35,3.6205,3.6572,11.45,0.195
2015-09-01,4.805,2.7925,1.04,0.34,3.6987,3.7377,12.075,0.37
2015-09-02,5.8,3.27,1.11,0.355,3.7611,3.7979,12.02,0.37
2015-09-03,5.76,3.22,1.13,0.355,3.7403,3.7824,13.42,0.38
2015-09-04,5.76,3.205,1.11,0.38,3.8434,3.8853,13.19,0.38
