X,USRINDEX Index,CONSSENT Index,LEI CEXP Index,ADS BCI Index,CFNAI Index,COI TOTL Index,LEI LCI Index,LEI YOY Index,OUSTDIFF Index,PHFFANX0 Index,S5FINL Index,MOODCAVG Index,MOODCBAA Index, MOODCAAA Index,USGG10YR Index,LEI BP Index,NHSLNFS Index,NHSLTOT Index,NMCMFUS Index,NAPMNEWO Index, NAPMINV Index,NAPMPMI Index,CRB RIND Index,ECRSUSCP Index,IPVPTRMH Index,LEI NWCN Index,USCRWTIC Index,DXY Index,GDP CYOY Index,LEI M2 Index,M1% YOY Index,CPI YOY Index,SPX Index,LEI STKP Index,TRAN Index,INJCJC4 Index,LEI AVGW Index,LEI WKIJ Index,NFP T Index,OUST#NEG Index,USESTEMP Index,DLJHYTW Index,LEI IRTE Index,USGG3M Index,USGG5YR Index
5/1/78,0,82.9,73,1.0992,0.5991,57.5,NA,4.4,NA,NA,NA,9.02,9.49,8.69,8.422,1839,413,857,9.68,63.9,54.5,60.2,NA,NA,NA,103.89,NA,95.46,NA,3414.3,8.7,7,97.29,97.41,223.95,327,40.4,326.3,86509,NA,NA,NA,0.99,6.65,8.284
6/1/78,0,80,68.1,0.5406,1.3506,57.8,NA,4.2,NA,2.81,NA,9.13,9.6,8.76,8.622,2065,419,834,9.73,63.6,54.2,60.5,NA,NA,NA,104.36,NA,93.53,6.1,3412.8,8.8,7.4,95.53,97.66,219.86,333.75,40.6,333.3,86951,NA,NA,NA,0.86,7.01,8.504
7/1/78,0,82.4,72,0.1699,-0.038,57.8,NA,3.9,NA,NA,NA,9.22,9.6,8.88,8.562,1860,419,789,9.75,64.7,57.7,62.2,NA,NA,NA,102.53,NA,90.94,NA,3408.6,8.6,7.7,100.68,97.19,241.14,350.75,40.6,350.6,87205,NA,NA,NA,0.83,6.76,8.464
8/1/78,0,78.4,67,0.3155,1.0613,58.1,NA,4.2,NA,NA,NA,9.08,9.48,8.69,8.392,1761,418,756,9.75,61.3,55.4,60.3,NA,NA,NA,103.7,NA,90,NA,3415.5,8.5,7.8,103.29,103.92,247.95,348.75,40.5,335.3,87481,NA,NA,NA,0.37,7.54,8.424
9/1/78,0,80.4,69.8,0.4563,0.4818,58.2,NA,4.3,NA,5.07,NA,9.04,9.42,8.69,8.562,1824,416,812,9.78,61.3,54.5,60.5,NA,NA,NA,102.82,NA,88.83,5.3,3425.4,8.5,8.3,102.54,103.86,244.11,325,40.5,324.3,87618,NA,NA,NA,-0.03,7.98,8.504
10/1/78,0,79.3,71.7,0.8901,1.1826,58.5,NA,4.3,NA,NA,NA,9.2,9.59,8.89,8.962,1855,407,872,9.88,58.8,56.1,60.1,NA,NA,NA,104.12,NA,83.07,NA,3416.8,8.2,8.9,93.15,100.58,208.71,328.25,40.5,327.8,87954,NA,NA,NA,-0.32,8.75,9.164
11/1/78,0,75,62.8,0.7059,1.181,58.8,NA,3.4,NA,NA,NA,9.4,9.83,9.03,8.862,1869,414,798,10.3,61.9,56.7,61.3,NA,NA,NA,104.72,NA,90.22,NA,3414.7,8.2,8.9,94.7,94.71,212.36,330.5,40.6,344.9,88391,NA,NA,NA,-0.95,9.01,8.944
12/1/78,0,66.1,53.8,-0.0864,0.8352,59,NA,3.1,NA,4.72,NA,9.49,9.94,9.16,9.152,1894,414,805,10.38,59.9,53.9,59.4,NA,NA,NA,105.86,NA,86.5,6.7,3415.9,8,9,96.11,96.11,206.56,350.25,40.5,349.7,88673,NA,NA,NA,-1.02,9.26,9.324
1/1/79,0,72.1,58.4,-0.3796,-0.4066,59,NA,3.3,NA,NA,NA,9.65,10.13,9.25,8.952,1521,411,754,10.4,57.3,52.3,58.5,NA,NA,0.46,104.74,NA,88.86,NA,3404.5,7.2,9.3,99.93,99.71,214.55,357.5,40.4,357.2,88810,NA,NA,NA,-0.97,9.29,8.954
2/1/79,0,73.9,62.2,0.3253,0.3637,59.1,NA,2.7,NA,NA,NA,9.63,10.08,9.26,9.172,1553,408,723,10.4,58.6,51.4,58.2,NA,NA,0.52,102.78,NA,88.18,NA,3401.8,7.3,9.9,96.28,98.23,205.83,358.5,40.5,359.8,89054,NA,NA,NA,-0.96,9.45,9.294
3/1/79,0,68.4,53.7,-0.5027,1.3927,59.5,NA,2.5,NA,12.09,NA,9.76,10.26,9.37,9.112,1791,421,793,10.45,56.7,54.1,57.7,NA,NA,0.5,105.99,NA,88.53,6.5,3400,7.6,10.1,101.59,100.11,225.17,358.75,40.6,358.6,89480,NA,NA,NA,-0.97,9.44,9.194
4/1/79,0,66,53.3,-0.6136,-1.8465,59.1,NA,-0.4,NA,NA,NA,9.81,10.33,9.38,9.352,1663,421,748,10.53,55.1,50.9,56.2,NA,NA,0.34,102.12,NA,89.98,NA,3399.7,8.3,10.5,101.76,102.07,229.06,415.5,39.3,415.2,89418,NA,NA,NA,-0.83,9.56,9.354
5/1/79,0,68.1,54.9,0.1597,1.6253,59.4,NA,-0.1,NA,NA,NA,9.96,10.47,9.5,9.062,1754,428,727,10.9,52.1,53.3,54.4,NA,NA,0.4,104.01,NA,90.53,NA,3384.4,7.2,10.9,99.08,99.73,233.15,348,40.2,343.3,89791,NA,NA,NA,-0.99,9.57,9.044
6/1/79,0,65.8,51.4,-0.294,0.0302,59.5,NA,-1.2,NA,18.89,NA,9.81,10.38,9.29,8.812,1708,420,700,11.1,49.4,53.8,52.7,NA,NA,0.39,103.66,NA,87.85,2.7,3387.2,7.6,10.9,102.91,101.73,242.26,366,40.2,365,90109,NA,NA,NA,-1.38,8.95,8.744
7/1/79,0,60.4,44.2,-0.6315,-0.1961,59.5,NA,-1.9,NA,NA,NA,9.69,10.29,9.2,9.012,1598,420,715,11.08,49.8,53.6,51.3,NA,NA,0.36,101.21,NA,87.31,NA,3389.6,8.5,11.3,103.81,102.71,254.53,379.25,40.2,379.1,90215,NA,NA,NA,-1.52,9.18,8.994
8/1/79,0,64.5,49.3,-0.5943,-0.8373,59.5,NA,-3,46,NA,NA,9.74,10.35,9.23,9.242,1657,419,729,11.13,46.9,51.6,49.5,NA,NA,0.35,98.67,NA,87.19,NA,3391.6,8.4,11.8,109.32,107.36,266.41,388,40.1,387.3,90297,8,NA,NA,-1.91,9.81,9.364
9/1/79,0,66.7,53.6,-0.3356,0.011,59.5,NA,-3.6,38,70.24,NA,9.93,10.54,9.44,9.442,1705,413,727,11.35,48.7,52.3,49.6,NA,NA,0.69,99.1,NA,85.45,2.4,3379.3,7.7,12.2,109.32,108.6,260.47,385,40.1,384.8,90325,16,NA,NA,-2.1,10.12,9.484
10/1/79,0,62.1,49.5,-0.23,0.0178,59.6,NA,-4.8,34,NA,NA,10.71,11.4,10.13,10.722,1542,408,670,12,47.3,46,49,NA,NA,0.36,97.69,NA,88.95,NA,3366.6,7.8,12.1,101.82,104.47,231.93,402.25,40.2,401.7,90482,15,NA,NA,-3.47,12.12,11.204
11/1/79,0,63.3,52,-0.3695,-0.4489,59.7,NA,-5.3,24,NA,NA,11.37,11.99,10.76,10.382,1329,400,597,12.9,46.5,44.3,48,NA,NA,0.25,96.62,NA,86.79,NA,3356.1,7.1,12.6,106.16,103.66,248.49,418.5,40.1,417.9,90576,18,NA,NA,-2.53,11.49,10.444
12/1/79,0,61,51.5,-0.137,-0.2397,59.7,NA,-6,6,65.42,NA,11.35,12.06,10.74,10.332,1306,397,559,12.9,44.3,43.5,44.8,NA,NA,0.5,96.36,NA,85.82,1.3,3345.9,6.9,13.3,107.94,107.78,252.39,431.25,40.1,430.8,90673,20,NA,NA,-3.39,12.04,10.384
1/1/80,1,67,54.1,-0.2657,0.0293,59.9,NA,-5.8,-16,NA,NA,11.74,12.42,11.09,11.132,1333,392,592,12.85,47.1,44.5,46.2,NA,NA,0.28,96.6,NA,86.14,NA,3331.6,7.6,13.9,114.16,110.87,281.6,414.25,40,416.6,90802,29,NA,NA,-3.02,12,11.114
2/1/80,1,66.9,54.9,-0.9028,-0.6874,59.8,NA,-6.1,-24,NA,NA,12.92,13.57,12.38,12.722,1249,380,541,13.59,51.6,46.5,50.2,NA,NA,0.54,98.3,NA,87.65,NA,3322.4,8.4,14.2,113.66,115.34,289.44,419.25,40.1,419,90882,28,NA,NA,-1.72,14.01,13.484
3/1/80,1,56.5,44.3,-2.2277,-1.4838,59.6,NA,-8.9,-48,35.19,NA,13.73,14.45,12.96,12.642,1029,376,474,16.03,43.8,43,43.6,NA,NA,0.31,93.42,NA,93.58,1.4,3293.7,7.1,14.8,102.09,104.69,246.3,440,39.9,439.5,90994,31,NA,NA,-4.44,14.24,13.314
4/1/80,1,52.7,44.4,-3.392,-3.4492,59.1,NA,-10.2,-58,NA,NA,13.21,14.19,12.04,10.762,842,362,370,16.25,32,45.3,37.4,NA,NA,0.33,87.79,NA,88.11,NA,3281.8,4.3,14.7,106.29,102.97,241.92,529.75,39.8,556.3,90850,34,NA,NA,-6.14,10.39,10.824
5/1/80,1,51.7,45.3,-3.0187,-3.5895,58.6,NA,-11.9,-64,NA,NA,12.11,13.17,10.99,10.252,896,350,469,13.2,25.6,33.3,29.4,NA,NA,0.27,83.66,NA,85.93,NA,3278.3,4.1,14.4,111.24,107.69,269.23,626.75,39.3,626.4,90419,35,NA,NA,-0.8,7.75,9.874
6/1/80,1,58.7,53,-1.9083,-2.0019,58.4,NA,-10.9,-58,83.57,NA,11.64,12.71,10.58,10.092,1165,343,552,12.35,24.2,37.3,30.3,NA,NA,0.37,84.12,NA,85.2,-0.7,3294.2,4.2,14.4,114.24,114.55,273.5,607,39.2,606.2,90099,37,NA,NA,0.31,7.88,9.484
7/1/80,1,62.3,53.4,-0.6624,-1.2219,58.3,NA,-9.5,-26,NA,NA,11.77,12.65,11.07,10.762,1311,337,636,12.25,36.1,29.5,35,NA,NA,0.34,86.33,NA,86.08,NA,3303.8,4.5,13.1,121.67,119.83,312.01,559.25,39.1,556.6,89837,32,NA,NA,1.22,8.62,10.094
8/1/80,0,67.3,59.6,0.6281,0.5164,58.5,NA,-8.6,16,NA,NA,12.33,13.15,11.64,11.552,1424,332,659,12.95,54.1,37.6,45.5,NA,NA,0.32,88.31,NA,85.85,NA,3310.4,5.4,12.9,122.38,123.5,320.11,518,39.5,517.4,90097,14,NA,NA,1.49,9.96,11.664
9/1/80,0,73.7,67.9,1.4323,1.3251,58.9,NA,-7.4,62,75,NA,12.8,13.7,12.02,11.862,1545,336,596,13.43,53.9,45.3,50.1,NA,NA,0.28,92.85,NA,86.02,-1.6,3306.4,6.7,12.6,125.46,126.51,333.86,482.75,39.6,482,90210,8,NA,NA,0.64,11.44,11.884
10/1/80,0,75,69.6,1.6311,1.5472,59.4,NA,-5.5,84,NA,NA,13.07,14.23,12.31,12.462,1423,336,561,14,63.7,43.9,55.5,NA,NA,0.27,96.52,NA,88.38,NA,3302.7,7.4,12.8,127.47,130.22,361.31,427.25,39.8,426.5,90491,2,NA,NA,-1.06,12.71,12.744
11/1/80,0,76.7,76.9,1.0019,1.0292,59.7,NA,-4.5,92,NA,NA,13.63,14.64,12.97,12.722,1440,339,562,14.28,65.3,42.2,58.2,NA,NA,0.33,95.31,NA,90.01,NA,3298.8,7.9,12.6,140.52,135.65,425.68,411,39.9,410.6,90748,4,NA,NA,-3.17,14.48,13.144
12/1/80,0,64.5,60.4,0.1133,0.4526,59.9,NA,-4.3,84,24.86,NA,14.04,15.14,13.21,12.432,1300,337,532,14.95,51.2,51.4,53,NA,NA,0.27,96.02,NA,90.39,0,3285.8,7,12.5,135.76,133.48,398.1,410,40.1,409.6,90943,2,NA,NA,-6.06,14.3,12.594
1/1/81,0,71.4,67.9,-0.4871,-0.3548,59.9,NA,-5.2,72,NA,NA,13.8,15.03,12.81,12.682,1272,334,511,15.07,48.7,44.6,49.2,NA,NA,0.29,90.88,NA,95.24,NA,3268.9,6.6,11.8,129.55,132.97,402.22,413.75,40.1,413.7,91037,5,NA,NA,-6.51,14.59,12.804
2/1/81,0,66.9,62.1,-0.3731,-0.6445,59.8,NA,-5.5,72,NA,NA,14.22,15.37,13.35,13.432,1249,336,510,15.3,51.1,42.1,48.8,NA,NA,0.3,94.47,NA,97.06,NA,3260,6.3,11.4,131.27,128.4,392.34,428.75,39.8,428.3,91105,10,NA,NA,-2.74,14.22,13.764
3/1/81,0,66.5,62.1,-0.4526,-0.0304,59.8,NA,-3,34,23.89,NA,14.26,15.34,13.33,13.132,1232,328,514,15.4,50.2,44.7,49.6,NA,NA,0.31,94.23,NA,96.76,1.7,3273.2,7.9,10.5,136,133.19,437.62,407.5,40,407.2,91210,13,NA,NA,-1.58,12.46,13.394
4/1/81,0,72.4,68.8,-0.6704,0.0798,59.8,NA,0.6,28,NA,NA,14.66,15.56,13.88,14.112,1239,329,470,15.82,53.1,44.4,51.6,NA,NA,0.31,95.44,NA,100.45,NA,3304.2,11.4,10,132.81,134.43,426.35,410.25,40.1,408.8,91283,15,NA,NA,-2.04,14.86,14.454
5/1/81,0,76.3,73.6,-0.2681,-0.0944,59.9,NA,1.3,10,NA,NA,15.15,15.95,14.32,13.502,1221,325,467,16.8,55.7,48.7,53.5,286.6,NA,0.29,95.81,NA,104.95,NA,3299.4,10.4,9.8,132.59,131.73,435.79,417.25,40.2,416.8,91293,22,NA,NA,-4.42,15.1,13.994
6/1/81,0,73.1,71.2,0.1513,-0.4547,60,NA,0.2,10,33.26,NA,14.76,15.8,13.75,13.862,1017,317,415,16.62,51,49.4,50.7,281.1,NA,0.28,95.84,NA,107.71,3,3298.4,9.3,9.6,131.21,132.28,415.18,433,40,432.4,91490,19,NA,NA,-5.63,14.28,14.254
7/1/81,1,74.1,67.1,-0.0376,0.104,60.3,NA,-1.3,-10,NA,NA,15.18,16.17,14.38,14.672,974,312,431,17.11,47.6,44.4,46.7,291.8,NA,0.3,94.83,NA,111.72,NA,3301.4,8.4,10.8,130.92,129.13,406.68,434.75,39.9,434.5,91602,22,NA,NA,-4.76,14.87,15.244
8/1/81,1,77.2,70.8,-0.7815,-0.7018,60.3,NA,-2.4,-38,NA,NA,15.6,16.34,14.89,15.412,926,308,378,17.48,47.2,47.3,48.3,286.3,NA,0.28,91.86,NA,110.28,NA,3305.2,6.9,10.8,122.79,129.63,371.48,443.75,40,443.5,91566,27,NA,NA,-2.88,15.52,16.114
9/1/81,1,73.1,69,-1.4011,-1.4974,60.1,NA,-4.6,-34,61.84,NA,16.18,16.92,15.49,15.842,882,304,338,18.36,42.2,41.9,42.5,278.5,NA,0.28,90.22,NA,107.73,4.4,3308.1,5.5,11,116.18,118.27,350.03,473.25,39.6,476.9,91479,32,NA,NA,-0.55,14.34,16.274
10/1/81,1,70.3,62.2,-1.8714,-1.776,59.9,NA,-6,-48,NA,NA,16.2,17.11,15.4,14.632,762,293,356,18.44,40.2,48.9,40,273.1,NA,0.25,87.71,NA,106.13,NA,3323.7,4.7,10.1,121.89,119.8,375.6,493.75,39.6,493.3,91380,34,NA,NA,0.07,12.75,14.784
11/1/81,1,62.5,56.3,-2.2054,-2.0549,59.7,NA,-6.3,-62,NA,NA,15.35,16.39,14.22,13.132,779,282,382,17.21,32.8,42.3,36.1,266.8,NA,0.23,85.92,NA,103.18,NA,3333.7,5,9.6,126.35,122.92,395.19,511.75,39.4,511.3,91171,39,NA,NA,0.08,10.37,12.794
12/1/81,1,64.3,56.8,-2.3966,-2.4653,59.4,NA,-6.2,-68,85.44,NA,15.38,16.55,14.23,13.982,829,275,457,17.04,39.1,37.2,37.8,265.8,NA,0.2,84.94,NA,104.69,1.3,3360.6,6.9,8.9,122.55,123.79,380.3,551,39.2,534.8,90893,38,NA,NA,1.35,11.08,13.974
1/1/82,1,71,62.9,-1.3856,-2.6754,59,NA,-6,-70,NA,NA,16.05,17.1,15.18,14.142,827,276,368,17.59,39.9,35.8,38.2,266.2,NA,0.25,84.74,NA,108.03,NA,3369.4,7.6,8.4,120.4,117.28,356.14,545.25,37.3,545.2,90567,40,NA,NA,1.37,12.52,14.244
