sec,date,sales,cur.asset,cash.and.st.invest,cur.liab,tot.debt,tot.asset,tot.invest,tot.liab,lt.debt,st.debt,lt.invest,st.invest,pref.stk,accts.rec,inventory,net.fixed.asset,cash,earnings
AM US Equity,3/31/15,NA,181.511,162.339,45.941,0,1394.349,0,45.941,0,0,0,0,0,NA,0,1188.385,162.339,NA
AM US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
HL US Equity,12/31/14,500.781,316.359,209.665,90.985,521.62,2262.064,4.92,865.09,512.129,9.491,4.92,0,0,17.696,47.473,1831.564,209.665,17.823
HL US Equity,12/31/15,443.567,269.533,155.209,127.084,520.496,2221.925,1.515,882.999,509.04,11.456,1.515,0,0,13.49,45.542,1896.811,155.209,-86.968
EXAS US Equity,12/31/14,1.798,291.677,282.756,17.521,1.36,312.824,224.625,23.84,1,0.36,0,224.625,0,1.376,4.017,19.947,58.131,-100.048
EXAS US Equity,12/31/15,39.437,326.13,306.879,26.723,5.018,364.296,265.744,37.44,4.852,0.166,0,265.744,0,4.933,6.677,34.096,41.135,-157.803
ALEX US Equity,12/31/14,560,167.6,2.8,183,706,2321.6,0,1106.8,631.5,74.5,0,0,0,NA,81.9,1525.7,2.8,61.4
ALEX US Equity,12/31/15,570.5,152.5,1.3,184.7,588.2,2243.5,0,1004.8,497.8,90.4,0,0,0,0,55.9,1452.9,1.3,29.6
GWPH US Equity,9/30/15,58.585,255.142,234.872,27.768,1.651,289.748,0,44.478,1.54,0.111,0,0,0,0.373,4.756,28.733,234.872,-59.222
GWPH US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
ALKS US Equity,12/31/14,618.789,876.793,631.166,130.582,355.756,1919.058,577.582,522.221,349.006,6.75,170.48,407.102,0,151.551,51.357,265.74,224.064,-30.061
ALKS US Equity,12/31/15,628.335,754.962,534.778,236.207,349.944,1855.744,617.74,541.469,284.207,65.737,264.071,353.669,0,155.487,38.411,254.819,181.109,-227.163
MDCO US Equity,12/31/14,724.408,623.894,370.741,403.823,246.676,1885.705,0,965.614,246.676,0,0,0,0,155.691,78.971,38.33,370.741,-32.212
MDCO US Equity,12/31/15,340.432,832.917,373.173,536.685,338.193,1806.951,0,1075.177,338.193,0,0,0,0,52.328,64.584,34.78,373.173,-352.756
NFLX US Equity,12/31/14,5504.656,3927.053,1608.496,2663.154,885.849,7042.5,494.888,5184.792,885.849,0,0,494.888,0,0,0,149.875,1113.608,266.799
NFLX US Equity,12/31/15,6779.511,5431.84,2310.715,3529.624,2371.362,10202.871,501.385,7979.445,2371.362,0,0,501.385,0,0,0,173.412,1809.33,122.641
ACAD US Equity,12/31/14,0.12,324.618,322.486,15.834,0,325.458,260.632,15.969,0,0,0,260.632,0,0,0,0.553,61.854,-92.475
ACAD US Equity,12/31/15,0.061,218.989,215.132,21.902,0,221.896,112.994,22.134,0,0,0,112.994,0,0,0,2.203,102.138,-164.443
KW US Equity,12/31/14,398.8,993.3,937.7,3288.2,3023.3,6332.1,763.1,3288.2,0,3023.3,0,763.1,0,55.6,0,4228.1,174.6,21.9
KW US Equity,12/31/15,603.7,786.3,731.6,4775,4360.8,7640.1,549,4775,0,4360.8,0,549,0,54.7,0,5797.5,182.6,74.7
KITE US Equity,12/31/14,0,368.37,367.04,6.725,0,370.753,157.742,8.164,0,0,0,157.742,0,0,0,2.093,209.298,-42.5694
