sec,date,sales,cur.asset,cash.and.st.invest,cur.liab,tot.debt,tot.asset,tot.invest,tot.liab,lt.debt,st.debt,lt.invest,st.invest,pref.stk,accts.rec,inventory,net.fixed.asset,cash,earnings
STR US Equity,12/31/14,1189.3,408.7,32,621.4,1630.6,4243.9,0,2997.7,1257.5,373.1,0,0,0,89.6,74.1,3735.5,32,226.5
STR US Equity,12/31/15,1134.9,440.1,25,940.2,1713.1,4377.8,0,3062.7,1004.1,709,0,0,0,106.7,73.5,3848.7,25,208.7
SCCO US Equity,12/31/14,5787.73,2358.8,702.6,1137.6,4180.9,11393.9,405.3,5557.3,3980.9,200,66.7,338.6,0,540.3,836.4,7436.4,364,1333.007
SCCO US Equity,12/31/15,5045.909,2484.2,878,920.2,5951.5,12593.2,679.6,7294,5951.5,0,76.1,603.5,0,448.6,857.2,8262.8,274.5,736.367
SC US Equity,12/31/14,5858.079,NA,33.157,NA,27811.301,32396.52,1920.857,28802.848,17718.974,10092.327,0,1920.857,0,NA,NA,4904.001,33.157,724.237
SC US Equity,12/31/15,6595.854,NA,18.893,NA,30375.679,36570.373,2236.329,32145.41,20872.9,9502.779,0,2236.329,0,NA,NA,6574.037,18.893,784.325
RRC US Equity,12/31/14,2143.46,570.292,0.448,639.677,3030.824,8704.604,0,5247.175,3030.824,0,0,0,0,188.941,17.854,8015.154,0.448,634.382
RRC US Equity,12/31/15,1713.826,439.074,0.471,351.72,2651.303,6900.031,0,4140.373,2651.303,0,0,0,0,123.842,33.217,6380.76,0.471,-713.685
TSLX US Equity,12/31/14,163.32,NA,2.413,NA,395.864,1303.731,1221.875,468.326,395.864,0,1221.875,0,0,NA,NA,NA,2.413,85.05
TSLX US Equity,12/31/15,173.415,NA,2.431,NA,652.788,1516.933,1485.709,696.192,652.788,0,1485.709,0,0,NA,NA,NA,2.431,63.568
RLYP US Equity,12/31/14,0,139.206,135.757,16.915,15.912,151.839,105.493,33.378,15.48,0.432,0,105.493,0,0,0,3.467,30.264,-79.888
RLYP US Equity,12/31/15,18.55,256.281,240.716,69.179,15.893,278.328,176.993,93.455,15.592,0.301,0,176.993,0,0.53,8.851,9.627,63.723,-178.716
PPL US Equity,12/31/14,6868,6026,1519,7439,18890,48606,120,34978,17054,1836,0,120,0,737,381,28169,1399,1737
PPL US Equity,12/31/15,7669,2646,836,3876,19964,39301,0,29382,18563,1401,0,0,0,673,357,30382,836,682
TSRO US Equity,12/31/14,0,258.596,256.861,24.365,111.964,260.385,0,136.329,111.964,0,0,0,0,0,0,1.022,256.861,-171.012
TSRO US Equity,12/31/15,0.317,236.491,230.146,46.681,121.325,255.281,0,168.407,121.325,0,0,0,0,0.679,1.106,2.779,230.146,-251.408
OAS US Equity,12/31/14,1397.002,696.607,45.811,795.128,2670.664,5909.076,0,4036.775,2670.664,0,0,0,0,130.934,21.354,5186.786,45.811,506.877
OAS US Equity,12/31/15,789.735,365.286,9.73,370.568,2302.584,5649.375,0,3330.033,2302.584,0,0,0,0,96.495,11.072,5218.242,9.73,-40.248
MPSYY US Equity,12/31/14,63.978,322.3954,138.8505,32.7028,0.2517,426.478,107.766,77.6748,0.2517,0,1.7266,106.0394,0,14.9905,0.5562,3.5577,32.8112,-3.0126
MPSYY US Equity,12/31/15,106.2228,300.1163,250.439,27.4704,0.225,400.0795,158.8804,37.3435,0.225,0,0,158.8804,0,11.4421,0.3688,3.474,91.5587,14.9008
JUNO US Equity,6/30/15,NA,307.755,303.573,160.456,9.783,524.169,273.894,212.865,9.483,0.3,9.839,264.055,0,0,0,28.689,39.518,NA
JUNO US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
ITCI US Equity,12/31/14,0.5773,130.9863,129.6457,10.5571,0,131.1118,68.3207,10.5571,0,0,0,68.3207,0,0.0516,0,0.0546,61.325,-30.6914
ITCI US Equity,12/31/15,0.0914,483.2561,475.2003,6.2635,0,484.1035,428.041,7.8606,0,0,0,428.041,0,0.0307,0,0.7755,47.1593,-104.7931
IONS US Equity,12/31/14,214.161,836.597,728.832,115.332,457.782,955.809,585.834,698.029,454.9,2.882,0,585.834,0,3.903,6.29,88.958,142.998,-38.984
IONS US Equity,12/31/15,283.702,837.003,779.183,148.876,481.162,956.105,650.386,755.315,472.133,9.029,0,650.386,0,11.356,6.899,90.233,128.797,-88.279
IOC US Equity,12/31/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,289.7668
IOC US Equity,12/31/15,3.4188,660.4258,33.0691,304.1341,130,1191.3947,0,391.7218,0,130,0,0,0,49.3637,0,505.9475,33.0691,-241.956
HTGC US Equity,12/31/14,143.665,NA,227.116,NA,626.258,1299.223,1033.397,640.359,352.894,273.364,1020.737,12.66,0,NA,NA,0,227.116,71.188
HTGC US Equity,12/31/15,162.244,NA,95.196,NA,550.386,1334.761,1209.829,617.627,337.022,213.364,1200.638,9.191,0,NA,NA,NA,95.196,42.916
GPOR US Equity,12/31/14,671.266,328.349,142.34,398.723,716.484,3632.393,0,1336.097,716.316,0.168,0,0,0,103.858,0,2890.619,142.34,247.403
GPOR US Equity,12/31/15,709.475,331.561,112.974,316.516,946.263,3334.734,0,1295.897,946.084,0.179,0,0,0,71.872,0,2628.403,112.974,-1224.884
FNMA US Equity,12/31/14,116395,NA,22023,NA,3222205,3248176,3179200,3244456,3222155,0,3019494,124165,0,NA,NA,10618,22023,14208
FNMA US Equity,12/31/15,110348,NA,14674,NA,3197671,3221917,3165068,3217858,3197671,0,3019644,117473,0,NA,NA,6766,14674,10954
FANG US Equity,12/31/14,506.148,251.711,30.183,266.729,673.5,3095.481,0,1110.268,673.5,0,0,0,0,93.993,2.827,2791.807,30.183,193.755
FANG US Equity,12/31/15,591.602,108.745,20.115,141.421,495.5,2758.412,0,649.439,495.5,0,0,0,0,77.313,1.728,2597.625,20.115,-550.628
CXO US Equity,12/31/14,2732.13,1188.396,0.021,1264.627,3561.678,11751.78,0,6470.992,3469.137,92.541,0,0,0,250.6,0,10206.014,0.021,538.175
CXO US Equity,12/31/15,2436.489,1314.55,228.55,596.42,3332.188,12641.876,0,5699.325,3332.188,0,0,0,0,203.972,0,10976.947,228.55,65.9
Z US Equity,12/31/14,325.893,401.337,372.594,49.196,0,649.73,330.155,60.951,0,0,83.326,246.829,0,18.684,0,41.6,125.765,-43.61
Z US Equity,12/31/15,644.677,574.094,520.289,80.422,230,3135.7,291.151,456.647,230,0,0,291.151,0,27.362,0,89.639,229.138,-148.874
XEC US Equity,12/31/14,2431.817,931.804,405.862,776.327,1483.176,8708.469,0,4207.837,1483.176,0,0,0,0,411.672,89.78,7114.742,405.862,507.204
XEC US Equity,12/31/15,1452.619,1077.93,779.382,410.067,1485.62,5243.286,0,2445.608,1485.62,0,0,0,0,225.36,54.579,3506.155,779.382,-2408.948
ZG US Equity,12/31/14,325.893,401.337,372.594,49.196,0,649.73,330.155,60.951,0,0,83.326,246.829,0,18.684,0,41.6,125.765,-43.61
ZG US Equity,12/31/15,644.677,574.094,520.289,80.422,230,3135.7,291.151,456.647,230,0,0,291.151,0,27.362,0,89.639,229.138,-148.874
ARES US Equity,12/31/14,1619.701,NA,1463.255,NA,13692.926,21638.992,19541.003,14879.619,12826.77,862.393,77.514,19463.489,0,NA,NA,NA,1463.255,77.835
ARES US Equity,12/31/15,941.622,NA,280.99,NA,2626.984,4321.408,3041.72,3329.497,2186.086,440.898,0,3041.72,0,NA,NA,NA,280.99,19.378
OPHT US Equity,12/31/14,41.259,473.332,463.56,19.831,0,479.786,423.746,351.249,0,0,0,423.746,0,0,0,1.555,39.814,-116.772
OPHT US Equity,12/31/15,51.505,306.485,296.592,37.505,0,428.851,74.731,368.904,0,0,0,74.731,0,0,0,3.466,221.861,-105.717
NBL US Equity,12/31/14,4961,3075,1183,2522,6220,22518,111,12193,6068,152,111,0,0,857,0,18143,1183,1213
NBL US Equity,12/31/15,4069,2276,1028,1805,8134,24196,90,13826,7976,158,90,0,0,450,0,21300,1028,-2442
KKR US Equity,12/31/14,7971.948,NA,918.08,NA,10837.784,65872.745,61643.392,14168.684,10837.784,NA,60167.626,1475.766,0,NA,NA,76.247,918.08,477.611
KKR US Equity,12/31/15,7786.119,NA,1047.74,NA,18730.017,71057.759,67045.679,21590.174,18730.017,0,65305.931,1739.748,0,NA,NA,226.34,1047.74,488.482
CLLS US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CLLS US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
