ticker,x,n,D_s,D_l,vol,r
CME UW Equity,103.09,338.6398,0,2241.4,22.02435578,0.5
CMG UN Equity,402.99,29.11578,0,0,39.33671831,0.5
CMI UN Equity,120.26,170.3595,63,1576,29.59871694,0.5
CMS UN Equity,44.95,279.8291,955,8559,16.56911372,0.5
CNC UN Equity,68.46,170.7369,5,1216,38.60779858,0.5
CNP UN Equity,23.48,430.6194,913,7901,22.02059116,0.5
COF UN Equity,66.44,512.0995,1,58133,31.17920486,0.5
COG UN Equity,23.81,465.1482,20,2005,50.48794774,0.5
COH UN Equity,41.9,278.0297,11.3,879.1,31.90044117,0.5
COL UN Equity,84.42,129.9312,448,1680,21.71836444,0.5
COP UN Equity,39.12,1238.505,1427,23453,48.12933042,0.5
COST UW Equity,165.1,438.0656,1293,4864,20.1430007,0.5
CPB UN Equity,61.33,308.647,1543,2552,21.16284269,0.5
CRM UN Equity,79.95,677.5,0,1293.947,34.91739193,0.5
CSCO UW Equity,30.6,5029.712,3897,21457,24.63597495,0.5
CSRA UN Equity,25.96,163.4236,170.191,2764.854,38.84783124,0.5
CTAS UW Equity,106.57,104.2075,250,1050,20.80826871,0.5
CTL UN Equity,30.5,546.052,1503,18722,32.20922061,0.5
CTSH UW Equity,57.82,605.8695,406.3,881.2,29.51212455,0.5
CTXS UW Equity,84.35,155.102,0,1324.992,33.58080637,0.5
CVS UN Equity,98.08,1074.022,1197,26267,20.09889641,0.5
CVX UN Equity,98.78,1884.702,4928,33664,28.81141778,0.5
CXO UN Equity,118.29,131.5507,0,3332.188,49.41028083,0.5
D UN Equity,77.03,616.2183,5335,23616,15.98410529,0.5
DAL UN Equity,36.8,748.9077,1563,6766,35.84134673,0.5
DD UN Equity,68.44,874.325,1165,7642,30.84729719,0.5
DE UN Equity,77.8,314.2589,13016.6,23832.8,25.42382784,0.5
DFS UN Equity,55.46,412.2253,0,24724,26.74002648,0.5
DG UN Equity,93.09,283.7783,1.379,2969.175,24.2237655,0.5
DGX UN Equity,85.11,139.0169,159,3492,19.36770729,0.5
DHI UN Equity,32.31,372.2858,0,3333.6,30.2638931,0.5
DHR UN Equity,80.8,690.5384,845.2,12025.2,15.87436942,0.5
DIS UN Equity,94.82,1622.441,4590,12773,21.02829261,0.5
DISCA UW Equity,26.19,150.4809,119,7616,34.16667254,0.5
DISCK UW Equity,25.26,248.7245,119,7616,32.2374418,0.5
DLPH UN Equity,65.61,272.977,52,3956,36.37609698,0.5
DLR UN Equity,104.25,159.3264,5631.058,303.183,22.24417373,0.5
DLTR UW Equity,96.16,235.6661,108,7238.4,29.42909161,0.5
DNB UN Equity,136.28,36.30694,20,1804.1,27.13320737,0.5
DO UN Equity,20.73,137.1697,286.589,1994.773,53.541798,0.5
DOV UN Equity,69.04,155.2159,151.122,2617.342,27.48078612,0.5
DOW UN Equity,53.08,1126.83,995,16215,28.7694115,0.5
DPS UN Equity,96.96,185.4046,507,2875,18.28555118,0.5
DRI UN Equity,60.4,126.2157,2.7,489.3,23.40426154,0.5
DTE UN Equity,98,179.4354,972,8835,16.59942108,0.5
DUK UN Equity,85.37,688.793,5707,37495,17.04377259,0.5
DVA UN Equity,76.04,206.5,129.037,9001.308,18.47983874,0.5
DVN UN Equity,35.52,524,976,12137,70.15609087,0.5
EA UW Equity,76.1,301.3833,161,989,34.87049424,0.5
EBAY UW Equity,30.91,1129.019,0,6779,32.65924883,0.5
ECL UN Equity,121.79,293.3052,2205.3,4260.2,23.61336767,0.5
ED UN Equity,80.01,304.1604,2268,12006,17.35434612,0.5
EFX UN Equity,130.64,119.3353,49.3,1145.9,23.08024157,0.5
EIX UN Equity,76.4,325.8112,990,10964,17.09100937,0.5
EL UN Equity,93.26,222.5791,29.8,1607.5,20.05055605,0.5
EMC UN Equity,28.135,1954.667,1299,5475,14.10111318,0.5
EMN UN Equity,64,147.8366,431,6608,29.03808609,0.5
EMR UN Equity,53.36,643.351,2553,4289,24.50423031,0.5
ENDP UW Equity,17.09,222.6613,328.705,8251.657,94.9239032,0.5
EOG UN Equity,78.99,550.2765,13.158,6653.685,39.6757511,0.5
EQIX UW Equity,373.26,69.42908,956.478,5564.542,25.33589848,0.5
EQR UN Equity,67.69,365.5021,6263.628,4704.87,21.91471004,0.5
EQT UN Equity,69.84,172.747,299,2793.343,40.82408139,0.5
ES UN Equity,58.41,317.207,1389.836,8805.574,17.94090498,0.5
ESRX UW Equity,75.52,630.219,1646.4,13946.3,22.7107527,0.5
ESS UN Equity,232.46,65.49485,3100.387,2256.03,22.91537447,0.5
ETFC UW Equity,24.52,278.7287,2067,997,37.14209871,0.5
ETN UN Equity,64.33,454.7,668,7781,27.04985166,0.5
ETR UN Equity,80.54,178.7409,711.431,13138.557,18.89272943,0.5
EW UN Equity,113.06,212.8788,0,599.9,34.1746441,0.5
EXC UN Equity,36.77,921.6947,2033,24286,21.46155099,0.5
EXPD UW Equity,51.38,182.059,0,0,19.50880478,0.5
EXPE UW Equity,112.84,136.9158,0,3201.277,35.05679155,0.5
EXR UN Equity,85.21,125.2077,659.863,2875.758,25.08092241,0.5
F UN Equity,12.025,3902.389,42998,89856,29.25882921,0.5
FAST UW Equity,42.02,288.9659,62.05,302.95,25.50171246,0.5
FB UW Equity,122.96,2322.959,7,107,31.4641884,0.5
FBHS UN Equity,62.74,153.376,0.8,1171.6,23.84925593,0.5
FCX UN Equity,12.45,1317.877,649,19779,96.20607216,0.5
FDX UN Equity,159.14,265.5243,29,13838,28.0871733,0.5
FE UN Equity,33.51,425.1982,2874,19192,26.82951905,0.5
FFIV UW Equity,122.87,66.20464,0,0,29.91313269,0.5
FIS UN Equity,78.45,326.4539,15.3,11497.8,23.58698934,0.5
FISV UW Equity,109.85,222.3299,5,4288,18.53867392,0.5
FITB UW Equity,18.6,767.7178,1658,15844,34.61338851,0.5
FL UN Equity,58.77,135.309,1,129,28.14757977,0.5
FLIR UW Equity,31.81,137.6319,264.694,93.75,28.3835514,0.5
FLR UN Equity,52.38,139.2302,0,992.664,30.83081433,0.5
FLS UN Equity,45.53,130.38,60.434,1570.836,33.63489802,0.5
FMC UN Equity,46.53,133.7515,112.6,2036.3,37.29297394,0.5
FOX UW Equity,27.13,798.521,244,18795,23.98264686,0.5
FOXA UW Equity,26.69,1095.726,244,18795,23.78502528,0.5
FRT UN Equity,168.45,70.90408,2087.924,554.442,16.39983472,0.5
FSLR UW Equity,47.45,102.2451,38.09,251.325,44.44593321,0.5
FTI UN Equity,24.2,225.6267,21.9,1134.1,42.00775568,0.5
FTR UW Equity,4.805,1173.076,384,15508,41.68756934,0.5
GD UN Equity,147.95,305.2789,501,2898,19.20182991,0.5
GE UN Equity,31.105,8961.233,49892,145301,18.87118891,0.5
GGP UN Equity,31.27,883.1966,0,14422.36,24.40575573,0.5
GILD UW Equity,80.21,1331.822,983,21197,30.69836223,0.5
GIS UN Equity,71.06,597.0209,1373.2,7057.7,16.96262089,0.5
GLW UN Equity,22.2,1036.877,572,3910,28.18226019,0.5
GM UN Equity,30.125,1561.922,19562,43549,25.80001322,0.5
GOOG UW Equity,771.29,343.4397,3225,1995,22.82583468,0.5
GOOGL UW Equity,797.96,293.6752,3225,1995,22.79970856,0.5
GPC UN Equity,100.7,148.9139,375,250,19.65440261,0.5
GPN UN Equity,71.75,153.6301,513.978,4379.744,34.10990758,0.5
GPS UN Equity,24.4,397.9643,421,1310,44.39425058,0.5
GRMN UW Equity,54.78,188.877,0,0,33.16720366,0.5
GS UN Equity,156.39,415.394,134517,185942,29.53560646,0.5
GT UW Equity,27.71,262.448,636,5120,31.47236981,0.5
GWW UN Equity,216,60.42256,600.418,1388.414,22.05381368,0.5
HAL UN Equity,41.87,861.1025,659,14687,36.95205469,0.5
HAR UN Equity,80.52,70.55469,5.571,1080.667,45.56794348,0.5
HAS UW Equity,80.53,125.4079,164.563,1547.115,24.85911188,0.5
HBAN UW Equity,9.26,799.154,615.279,7067.614,33.59031105,0.5
HBI UN Equity,25.88,377.5174,370.604,2254.162,36.51887182,0.5
HCA UN Equity,75.01,391.0539,233,30255,27.26931386,0.5
HCN UN Equity,78.08,356.9951,9383.055,3584.631,27.12435581,0.5
HCP UN Equity,39.16,467.0876,10042.346,1026.657,34.43396669,0.5
HD UN Equity,137.68,1244.007,427,20888,20.5962825,0.5
HES UN Equity,50.63,316.7194,86,6544,53.53279952,0.5
HIG UN Equity,39.84,385.9676,275,5084,27.34019393,0.5
HOG UN Equity,51.38,181.0901,2045,4845.388,39.8932374,0.5
HOLX UW Equity,39.14,277.4229,391.8,3248,29.83369718,0.5
HON UN Equity,115.42,760.8747,6514,5554,19.71088863,0.5
HOT UN Equity,76.88,169.5499,81,2278,27.95211718,0.5
HP UN Equity,60.16,108.0392,39.094,492.443,47.62443512,0.5
HPE UN Equity,20.8,1661.715,691,15103,41.66531223,0.5
HPQ UN Equity,14.005,1710.607,2885,21780,39.33281637,0.5
HRB UN Equity,23.44,221.0823,1.652,1501.925,38.94895837,0.5
HRL UN Equity,36.91,529.8605,185,250,25.0402261,0.5
HRS UN Equity,86.07,124.7259,397,4120,24.72075733,0.5
HSIC UW Equity,179.28,82.06639,345.962,463.752,19.28058272,0.5
HST UN Equity,17.535,742.4818,2376,1641,34.08179843,0.5
HSY UN Equity,110.9,152.5697,863.436,1557.091,25.69412915,0.5
HUM UN Equity,169.05,149.0367,600,3821,30.27533248,0.5
IBM UN Equity,161.19,955.8442,6461,33428,22.1607457,0.5
ICE UN Equity,263,119.0456,2591,4717,24.26881154,0.5
IFF UN Equity,132.73,79.71387,132.349,937.844,27.10588812,0.5
ILMN UW Equity,164.97,146.6,74.929,1015.649,51.54509973,0.5
INTC UW Equity,34.56,4731,2634,20036,24.91557649,0.5
INTU UW Equity,109.22,255.8713,0,500,23.58776402,0.5
IP UN Equity,45.39,411.1743,426,8900,28.68525336,0.5
IPG UN Equity,22.68,400.7076,152,1610.3,23.10473646,0.5
IR UN Equity,66.13,257.9984,504.2,3734.8,25.71125934,0.5
IRM UN Equity,40.52,262.6435,88.068,4757.61,22.95510237,0.5
ISRG UW Equity,687.25,38.49336,0,0,21.39770713,0.5
ITW UN Equity,114.77,359.3704,526,6896,19.02315038,0.5
IVZ UN Equity,28.35,409.9161,0,7509.8,38.44738546,0.5
JBHT UW Equity,81.37,112.6803,0,1005.026,23.10560954,0.5
JCI UN Equity,45.22,637.7459,865,5745,25.57202172,0.5
JEC UN Equity,53.02,121.9252,13.364,584.434,26.87665485,0.5
JNJ UN Equity,124.68,2750.644,7004,12857,14.22626912,0.5
JNPR UN Equity,22.285,383.9451,299.9,1648.8,35.15305081,0.5
JPM UN Equity,63.66,3656.659,115680,330530,28.09738685,0.5
JWN UN Equity,40.83,173.4351,10,2795,37.38608941,0.5
K UN Equity,81.77,350.0482,2470,5289,19.17794734,0.5
KEY UN Equity,11.505,1083.695,905,10186,30.79748587,0.5
KHC UW Equity,85.07,1215.955,79,25151,20.77005382,0.5
KIM UN Equity,31.7,420.0516,3761.328,1614.982,19.40703278,0.5
KLAC UW Equity,75.73,155.7084,0,3057.936,16.8908071,0.5
KMB UN Equity,131.27,359.6361,1669,6106,17.57710083,0.5
KMI UN Equity,19.58,2232.323,821,40632,58.15151666,0.5
KMX UN Equity,55.65,191.4752,315.509,10342.323,37.53697043,0.5
KO UN Equity,43.46,4316.029,15806,28407,15.58785912,0.5
KORS UN Equity,51.28,176.4486,0,2.3,42.91916674,0.5
KR UN Equity,32.57,948.9923,2370,9709,26.52364582,0.5
